"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV"
58277,NA,"Ignalinos r.",NA,NA,NA,NA,3,1,2,1,2,0,2020-05-27 09:03:54,0,0,3,2.1,14433,0.7
58278,NA,"Telšių r.",NA,NA,NA,NA,10,5,5,0,8,2,2020-05-27 09:03:55,0,0,10,2.5,39317,0
58279,NA,"Plungės r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-27 09:03:56,0,0,7,2.1,32987,0
58280,NA,"Kretingos r.",NA,NA,NA,NA,59,22,37,25,32,2,2020-05-27 09:03:56,0,0,59,15.8,37427,6.7
58281,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-05-27 09:03:57,0,0,1,0.5,20840,0
58282,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-27 09:03:58,0,0,7,2.7,25887,0
58283,NA,"Raseinių r.",NA,NA,NA,NA,6,1,5,0,5,1,2020-05-27 09:03:58,0,0,6,1.9,31225,0
58284,NA,"Vilniaus m.",NA,NA,NA,NA,424,183,241,160,246,14,2020-05-27 09:03:59,0,0,424,7.5,562030,2.8
58285,NA,"Šilalės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-05-27 09:04:00,0,0,3,1.4,21887,0
58286,NA,"Klaipėdos m.",NA,NA,NA,NA,273,90,183,56,201,16,2020-05-27 09:04:01,0,0,273,18.3,149157,3.8
58287,NA,"Visagino",NA,NA,NA,NA,3,1,2,0,3,0,2020-05-27 09:04:01,0,0,3,1.6,18250,0
58288,NA,"Pasvalio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-05-27 09:04:02,0,0,4,1.8,22816,0.4
58289,NA,"Panevėžio m.",NA,NA,NA,NA,21,13,8,1,19,1,2020-05-27 09:04:03,0,0,21,2.4,85878,0.1
58290,NA,"Šiaulių m.",NA,NA,NA,NA,14,9,5,2,11,1,2020-05-27 09:04:03,0,0,14,1.4,101514,0.2
58291,NA,"Birštono",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,4069,0
58292,NA,"Pakruojo r.",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,18606,0
