"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV"
57931,NA,"Klaipėdos r.",NA,NA,NA,NA,55,24,31,7,45,3,2020-05-26 09:03:33,0,0,55,9.1,60139,1.2
57932,NA,"Anykščių r.",NA,NA,NA,NA,6,2,4,0,6,0,2020-05-26 09:03:34,0,0,6,2.6,23034,0
57933,NA,"Akmenės r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-05-26 09:03:35,0,0,5,2.7,18764,0
57934,NA,"Molėtų r.",NA,NA,NA,NA,3,1,2,2,1,0,2020-05-26 09:03:35,0,0,3,1.7,17153,1.2
57935,NA,"Radviliškio r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-05-26 09:03:36,0,0,3,0.9,34995,0
57936,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-05-26 09:03:36,0,0,3,1.1,28070,0
57937,NA,"Šakių r.",NA,NA,NA,NA,3,1,2,0,2,1,2020-05-26 09:03:37,0,0,3,1.1,26698,0
57938,NA,"Panevėžio r.",NA,NA,NA,NA,8,5,3,1,6,1,2020-05-26 09:03:38,0,0,8,2.3,35324,0.3
57939,NA,"Trakų r.",NA,NA,NA,NA,5,5,0,0,5,0,2020-05-26 09:03:38,0,0,5,1.5,32546,0
57940,NA,"Kupiškio r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-05 10:19:52,0,0,1,0.6,16356,0
57941,NA,"Skuodo r.",NA,NA,NA,NA,2,0,2,0,2,0,2020-05-26 09:03:39,0,0,2,1.2,16078,0
57942,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,5,6,1,2020-05-26 09:03:40,0,0,12,7.5,16046,3.1
57943,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-26 09:03:40,0,0,1,1.4,7288,0
57944,NA,"Šalčininkų r.",NA,NA,NA,NA,11,4,7,4,7,0,2020-05-26 09:03:41,0,0,11,3.6,30520,1.3
57945,NA,"Vilniaus r.",NA,NA,NA,NA,245,87,158,77,163,3,2020-05-26 09:03:42,0,0,245,24.5,100158,7.7
57946,NA,"Švenčionių r.",NA,NA,NA,NA,10,6,4,3,7,0,2020-05-26 09:03:42,0,0,10,4.4,22932,1.3
57947,NA,"Zarasų r.",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,14916,0
57948,NA,"Kėdainių r.",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-26 09:03:43,0,0,1,0.2,45285,0
57949,NA,"Ukmergės r.",NA,NA,NA,NA,86,27,59,5,73,8,2020-05-26 09:03:44,0,0,86,25.7,33471,1.5
57950,NA,"Kelmės r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-05-26 09:03:44,0,0,2,0.8,25382,0
57951,NA,"Širvintų r.",NA,NA,NA,NA,8,4,4,2,5,0,2020-05-26 09:03:45,0,0,8,5.3,15076,1.3
57952,NA,"Kalvarijos",NA,NA,NA,NA,4,2,2,2,2,0,2020-05-26 09:03:45,0,0,4,3.9,10190,2
57953,NA,"Kauno r.",NA,NA,NA,NA,21,14,7,2,19,0,2020-05-26 09:03:46,0,0,21,2.2,96441,0.2
57954,NA,"Šilutės r.",NA,NA,NA,NA,7,4,3,1,6,0,2020-05-26 09:03:47,0,0,7,1.9,37637,0.3
57955,NA,"Tauragės r.",NA,NA,NA,NA,9,5,4,2,7,0,2020-05-26 09:03:47,0,0,9,2.4,37805,0.5
57956,NA,"Lazdijų r.",NA,NA,NA,NA,4,1,3,2,2,0,2020-05-26 09:03:48,0,0,4,2.2,18331,1.1
57957,NA,"Jurbarko r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-05-26 09:03:48,0,0,2,0.8,24822,0
57958,NA,"Elektrėnų",NA,NA,NA,NA,6,2,4,3,3,0,2020-05-26 09:03:49,0,0,6,2.5,23992,1.3
57959,NA,"Neringos",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-26 09:03:49,0,0,1,2.8,3530,0
57960,NA,"Mažeikių r.",NA,NA,NA,NA,7,4,3,1,5,1,2020-05-26 09:03:50,0,0,7,1.4,51067,0.2
57961,NA,"Ignalinos r.",NA,NA,NA,NA,3,1,2,1,2,0,2020-05-26 09:03:51,0,0,3,2.1,14433,0.7
57962,NA,"Telšių r.",NA,NA,NA,NA,10,5,5,0,8,2,2020-05-26 09:03:51,0,0,10,2.5,39317,0
57963,NA,"Plungės r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-26 09:03:52,0,0,7,2.1,32987,0
57964,NA,"Kretingos r.",NA,NA,NA,NA,59,22,37,27,30,2,2020-05-26 09:03:52,0,0,59,15.8,37427,7.2
57965,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-05-26 09:03:53,0,0,1,0.5,20840,0
57966,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-26 09:03:54,0,0,7,2.7,25887,0
57967,NA,"Raseinių r.",NA,NA,NA,NA,6,1,5,0,5,1,2020-05-26 09:03:54,0,0,6,1.9,31225,0
57968,NA,"Vilniaus m.",NA,NA,NA,NA,420,183,237,156,247,13,2020-05-26 09:03:55,0,0,420,7.5,562030,2.8
57969,NA,"Šilalės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-05-26 09:03:56,0,0,3,1.4,21887,0
57970,NA,"Klaipėdos m.",NA,NA,NA,NA,273,90,183,68,189,16,2020-05-26 09:03:57,0,0,273,18.3,149157,4.6
57971,NA,"Visagino",NA,NA,NA,NA,3,1,2,0,3,0,2020-05-26 09:03:58,0,0,3,1.6,18250,0
57972,NA,"Pasvalio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-05-26 09:03:58,0,0,4,1.8,22816,0.4
57973,NA,"Panevėžio m.",NA,NA,NA,NA,21,13,8,2,18,1,2020-05-26 09:03:59,0,0,21,2.4,85878,0.2
57974,NA,"Šiaulių m.",NA,NA,NA,NA,14,9,5,2,11,1,2020-05-26 09:03:59,0,0,14,1.4,101514,0.2
57975,NA,"Birštono",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,4069,0
57976,NA,"Pakruojo r.",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,18606,0
61,NA,"Kita",NA,NA,NA,NA,1,1,0,1,0,0,2020-05-26 09:05:37,0,0,1,0,0,0
