"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV"
58905,NA,"Skuodo r.",NA,NA,NA,NA,2,0,2,0,2,0,2020-05-28 09:03:48,0,0,2,12.4,16078,0
58906,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,5,6,1,2020-05-28 09:03:49,0,0,12,74.8,16046,31.2
58907,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-28 09:03:50,0,0,1,13.7,7288,0
58908,NA,"Šalčininkų r.",NA,NA,NA,NA,12,5,7,5,7,0,2020-05-28 09:03:50,0,0,12,39.3,30520,16.4
58909,NA,"Vilniaus r.",NA,NA,NA,NA,251,89,162,79,167,3,2020-05-28 09:03:51,0,0,251,250.6,100158,78.9
58910,NA,"Švenčionių r.",NA,NA,NA,NA,10,6,4,3,7,0,2020-05-28 09:03:52,0,0,10,43.6,22932,13.1
58911,NA,"Zarasų r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-28 09:03:52,0,0,1,6.7,14916,0
58912,NA,"Kėdainių r.",NA,NA,NA,NA,1,0,1,0,1,0,2020-05-28 09:03:53,0,0,1,2.2,45285,0
58913,NA,"Ukmergės r.",NA,NA,NA,NA,86,27,59,5,73,8,2020-05-28 09:03:54,0,0,86,256.9,33471,14.9
58914,NA,"Kelmės r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-05-28 09:03:55,0,0,2,7.9,25382,0
58915,NA,"Širvintų r.",NA,NA,NA,NA,8,4,4,2,5,0,2020-05-28 09:03:55,0,0,8,53.1,15076,13.3
58916,NA,"Kalvarijos",NA,NA,NA,NA,4,2,2,2,2,0,2020-05-28 09:03:56,0,0,4,39.3,10190,19.6
58917,NA,"Kauno r.",NA,NA,NA,NA,21,14,7,1,20,0,2020-05-28 09:03:56,0,0,21,21.8,96441,1
58918,NA,"Šilutės r.",NA,NA,NA,NA,7,4,3,1,6,0,2020-05-28 09:03:57,0,0,7,18.6,37637,2.7
58919,NA,"Tauragės r.",NA,NA,NA,NA,9,5,4,2,7,0,2020-05-28 09:03:58,0,0,9,23.8,37805,5.3
58920,NA,"Lazdijų r.",NA,NA,NA,NA,5,2,3,3,2,0,2020-05-28 09:03:58,0,0,5,27.3,18331,16.4
58921,NA,"Jurbarko r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-05-28 09:03:59,0,0,2,8.1,24822,0
58922,NA,"Elektrėnų",NA,NA,NA,NA,6,2,4,3,3,0,2020-05-28 09:04:00,0,0,6,25,23992,12.5
58923,NA,"Neringos",NA,NA,NA,NA,1,1,0,0,1,0,2020-05-28 09:04:00,0,0,1,28.3,3530,0
58924,NA,"Mažeikių r.",NA,NA,NA,NA,7,4,3,1,5,1,2020-05-28 09:04:01,0,0,7,13.7,51067,2
58925,NA,"Ignalinos r.",NA,NA,NA,NA,3,1,2,1,2,0,2020-05-28 09:04:02,0,0,3,20.8,14433,6.9
58926,NA,"Telšių r.",NA,NA,NA,NA,10,5,5,0,8,2,2020-05-28 09:04:02,0,0,10,25.4,39317,0
58927,NA,"Plungės r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-28 09:04:03,0,0,7,21.2,32987,0
58928,NA,"Kretingos r.",NA,NA,NA,NA,59,22,37,24,33,2,2020-05-28 09:04:04,0,0,59,157.6,37427,64.1
58929,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-05-28 09:04:04,0,0,1,4.8,20840,0
58930,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-28 09:04:05,0,0,7,27,25887,0
58931,NA,"Raseinių r.",NA,NA,NA,NA,6,1,5,0,5,1,2020-05-28 09:04:06,0,0,6,19.2,31225,0
58932,NA,"Vilniaus m.",NA,NA,NA,NA,425,182,243,158,248,15,2020-05-28 09:04:07,0,0,425,75.6,562030,28.1
58933,NA,"Šilalės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-05-28 09:04:07,0,0,3,13.7,21887,0
58934,NA,"Klaipėdos m.",NA,NA,NA,NA,273,90,183,55,202,16,2020-05-28 09:04:08,0,0,273,183,149157,36.9
58935,NA,"Visagino",NA,NA,NA,NA,3,1,2,0,3,0,2020-05-28 09:04:09,0,0,3,16.4,18250,0
58936,NA,"Pasvalio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-05-28 09:04:09,0,0,4,17.5,22816,4.4
58937,NA,"Panevėžio m.",NA,NA,NA,NA,21,13,8,1,19,1,2020-05-28 09:04:10,0,0,21,24.5,85878,1.2
58938,NA,"Šiaulių m.",NA,NA,NA,NA,14,9,5,2,11,1,2020-05-28 09:04:11,0,0,14,13.8,101514,2
58939,NA,"Birštono",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,4069,0
58940,NA,"Pakruojo r.",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,18606,0
61,NA,"Kita",NA,NA,NA,NA,1,1,0,1,0,0,2020-05-28 09:05:55,0,0,1,0,0,0
