"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_retested","positive_new","not_tested","not_tested_mobile"
2020-04-05,"LSMU ligoninės Kauno klinikų laboratorija",349,135,337,129,12,6,1,11,0,0
2020-04-05,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",200,4,194,2,6,2,0,6,263,51
2020-04-05,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",261,0,258,0,3,0,0,3,0,0
2020-04-05,"Nacionalinio vėžio instituto laboratorija",219,0,218,0,1,0,0,1,0,0
2020-04-05,"Respublikinės Šiaulių ligoninės laboratorija",155,46,153,45,2,1,0,2,31,0
2020-04-05,"UAB „Diagnostikos laboratorija“ („Antėja“)",55,54,54,53,1,1,0,1,49,49
2020-04-05,"UAB „Medicina practica laboratorija“",401,0,400,0,1,0,0,1,0,0
2020-04-05,"VU ligoninės Santaros klinikų laboratorija",234,157,224,156,10,1,6,4,16,0
2020-04-06,"Klaipėdos universitetinės ligoninės laboratorija",186,59,181,55,5,4,0,5,434,339
2020-04-06,"LSMU ligoninės Kauno klinikų laboratorija",714,153,698,149,16,4,0,16,0,0
2020-04-06,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",189,0,182,0,7,0,0,7,201,84
2020-04-06,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",558,558,557,557,1,1,0,1,60,60
2020-04-06,"Respublikinės Šiaulių ligoninės laboratorija",191,68,186,65,5,3,1,4,161,77
2020-04-06,"UAB „Diagnostikos laboratorija“ („Antėja“)",45,45,43,43,2,2,0,2,4,4
2020-04-06,"UAB „SK Impeks Medicinos diagnostikos centras“",103,7,102,7,1,0,1,0,1,0
2020-04-06,"VU ligoninės Santaros klinikų laboratorija",222,0,215,0,7,0,5,2,12,0
2020-04-07,"Klaipėdos universitetinės ligoninės laboratorija",466,267,459,264,7,3,0,7,167,167
2020-04-07,"LSMU ligoninės Kauno klinikų laboratorija",1008,201,996,197,12,4,0,12,200,0
2020-04-07,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",211,82,201,72,10,10,0,10,142,52
2020-04-07,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",60,60,60,60,0,0,0,0,0,0
2020-04-07,"Nacionalinio vėžio instituto laboratorija",64,64,63,63,1,1,0,1,1,0
2020-04-07,"Respublikinės Šiaulių ligoninės laboratorija",315,160,314,159,1,1,0,1,78,70
2020-04-07,"UAB „Diagnostikos laboratorija“ („Antėja“)",4,3,3,3,1,0,1,0,0,0
2020-04-07,"UAB „SK Impeks Medicinos diagnostikos centras“",13,0,13,0,0,0,0,0,0,0
2020-04-07,"VU ligoninės Santaros klinikų laboratorija",160,11,151,11,9,0,8,1,0,0
2020-04-08,"Klaipėdos universitetinės ligoninės laboratorija",384,161,375,155,9,6,0,9,0,0
2020-04-08,"LSMU ligoninės Kauno klinikų laboratorija",1003,97,992,95,11,2,0,11,240,0
2020-04-08,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",215,31,212,30,3,1,1,2,357,40
2020-04-08,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",465,459,445,445,20,14,6,14,120,120
2020-04-08,"Nacionalinio vėžio instituto laboratorija",71,18,70,18,1,0,0,1,0,0
2020-04-08,"Respublikinės Šiaulių ligoninės laboratorija",313,124,313,124,0,0,0,0,60,0
2020-04-08,"UAB „Baltic Medics“",22,1,22,1,0,0,0,0,0,0
2020-04-08,"VU ligoninės Santaros klinikų laboratorija",226,0,216,0,10,0,5,5,5,0
2020-04-09,"Klaipėdos universitetinės ligoninės laboratorija",376,162,363,157,13,5,0,13,0,0
2020-04-09,"LSMU ligoninės Kauno klinikų laboratorija",1524,313,1509,304,15,9,0,15,0,0
2020-04-09,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",340,3,335,0,5,3,0,5,0,0
2020-04-09,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",262,258,250,250,12,8,4,8,0,0
2020-04-09,"Nacionalinio vėžio instituto laboratorija",181,93,180,92,1,1,0,1,0,0
2020-04-09,"Respublikinės Šiaulių ligoninės laboratorija",258,47,256,46,2,1,0,2,30,0
2020-04-09,"UAB „Baltic Medics“",33,31,33,31,0,0,0,0,0,0
2020-04-09,"UAB „Medicina practica laboratorija“",77,77,77,77,0,0,0,0,0,0
2020-04-09,"VU ligoninės Santaros klinikų laboratorija",191,11,187,11,4,0,4,0,10,0
2020-04-10,"Klaipėdos universitetinės ligoninės laboratorija",281,67,273,63,8,4,0,8,0,0
2020-04-10,"LSMU ligoninės Kauno klinikų laboratorija",927,182,920,178,7,4,0,7,0,0
2020-04-10,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",271,57,256,56,15,1,12,3,328,55
2020-04-10,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",269,269,262,262,7,7,0,7,47,47
2020-04-10,"Nacionalinio vėžio instituto laboratorija",141,69,140,68,1,1,0,1,1,0
2020-04-10,"Respublikinės Šiaulių ligoninės laboratorija",220,37,218,37,2,0,1,1,7,6
2020-04-10,"UAB „Baltic Medics“",29,27,28,27,1,0,1,0,0,0
2020-04-10,"UAB „Medicina practica laboratorija“",12,12,12,12,0,0,0,0,0,0
2020-04-10,"UAB „SK Impeks Medicinos diagnostikos centras“",18,0,18,0,0,0,0,0,0,0
2020-04-10,"VU ligoninės Santaros klinikų laboratorija",253,13,245,13,8,0,8,0,5,0
2020-04-11,"Klaipėdos universitetinės ligoninės laboratorija",178,143,166,131,12,12,0,12,0,0
2020-04-11,"LSMU ligoninės Kauno klinikų laboratorija",596,151,591,150,5,1,1,4,0,0
2020-04-11,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",359,78,356,77,3,1,1,2,25,21
2020-04-11,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",296,294,286,286,10,8,2,8,93,93
2020-04-11,"Nacionalinio vėžio instituto laboratorija",176,25,176,25,0,0,0,0,0,0
2020-04-11,"Respublikinės Šiaulių ligoninės laboratorija",145,34,145,34,0,0,0,0,0,0
2020-04-11,"UAB „Baltic Medics“",11,11,11,11,0,0,0,0,0,0
2020-04-11,"UAB „Medicina practica laboratorija“",247,247,247,247,0,0,0,0,0,0
2020-04-11,"VU ligoninės Santaros klinikų laboratorija",105,15,103,15,2,0,1,1,10,0
2020-04-12,"Klaipėdos universitetinės ligoninės laboratorija",188,140,187,140,1,0,0,1,0,0
2020-04-12,"LSMU ligoninės Kauno klinikų laboratorija",191,23,190,22,1,1,0,1,0,0
2020-04-12,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",51,48,49,46,2,2,0,2,0,0
2020-04-12,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",170,166,161,161,9,5,4,5,0,0
2020-04-12,"Respublikinės Šiaulių ligoninės laboratorija",86,0,86,0,0,0,0,0,8,0
2020-04-12,"VU ligoninės Santaros klinikų laboratorija",105,0,104,0,1,0,1,0,2,0
2020-04-13,"Klaipėdos universitetinės ligoninės laboratorija",283,278,279,275,4,3,0,4,0,0
2020-04-13,"LSMU ligoninės Kauno klinikų laboratorija",299,93,297,91,2,2,0,2,0,0
2020-04-13,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",2,0,2,0,0,0,0,0,0,0
2020-04-13,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",151,150,149,149,2,1,1,1,0,0
2020-04-13,"Respublikinės Šiaulių ligoninės laboratorija",134,0,134,0,0,0,0,0,1,0
2020-04-13,"UAB „Medicina practica laboratorija“",189,189,189,189,0,0,0,0,0,0
2020-04-13,"VU ligoninės Santaros klinikų laboratorija",129,24,126,24,3,0,2,1,0,0
2020-04-14,"Klaipėdos universitetinės ligoninės laboratorija",281,113,274,108,7,5,0,7,44,44
2020-04-14,"LSMU ligoninės Kauno klinikų laboratorija",946,40,942,40,4,0,0,4,200,0
2020-04-14,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",129,33,125,30,4,3,0,4,180,54
2020-04-14,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",93,93,89,89,4,4,0,4,0,0
2020-04-14,"Nacionalinio vėžio instituto laboratorija",41,0,41,0,0,0,0,0,1,0
2020-04-14,"Respublikinės Šiaulių ligoninės laboratorija",253,45,253,45,0,0,0,0,96,0
2020-04-14,"UAB „Baltic Medics“",20,19,20,19,0,0,0,0,0,0
2020-04-14,"VU ligoninės Santaros klinikų laboratorija",224,9,211,9,13,0,11,2,26,0
2020-04-15,"Klaipėdos universitetinės ligoninės laboratorija",376,163,364,156,12,7,0,12,0,0
2020-04-15,"LSMU ligoninės Kauno klinikų laboratorija",1594,239,1588,235,6,4,0,6,50,0
2020-04-15,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",439,156,433,154,6,2,2,4,183,0
2020-04-15,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",353,349,342,342,11,7,4,7,0,0
2020-04-15,"Nacionalinio vėžio instituto laboratorija",50,0,50,0,0,0,0,0,2,0
2020-04-15,"Respublikinės Šiaulių ligoninės laboratorija",351,69,351,69,0,0,0,0,317,25
2020-04-15,"UAB „Baltic Medics“",46,45,46,45,0,0,0,0,0,0
2020-04-15,"VU Gyvybės mokslų centras",37,0,36,0,1,0,0,1,179,0
2020-04-15,"VU ligoninės Santaros klinikų laboratorija",614,11,604,11,10,0,3,7,53,0
2020-04-16,"Klaipėdos universitetinės ligoninės laboratorija",375,133,372,132,3,1,NA,NA,0,0
2020-04-16,"LSMU ligoninės Kauno klinikų laboratorija",1889,375,1884,375,5,0,NA,NA,300,0
2020-04-16,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",339,41,330,40,9,1,NA,NA,239,1
2020-04-16,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",265,265,259,259,6,6,NA,NA,0,0
2020-04-16,"Nacionalinio vėžio instituto laboratorija",178,55,178,55,0,0,NA,NA,0,0
2020-04-16,"Respublikinės Šiaulių ligoninės laboratorija",450,25,449,25,1,0,NA,NA,119,0
2020-04-16,"UAB „Medicina practica laboratorija“",245,234,245,234,0,0,NA,NA,3,3
2020-04-16,"VU Gyvybės mokslų centras",154,0,154,0,0,0,NA,NA,243,0
2020-04-16,"VU ligoninės Santaros klinikų laboratorija",669,2,664,2,5,0,NA,NA,43,0
2020-04-17,"Klaipėdos universitetinės ligoninės laboratorija",470,166,461,161,9,5,NA,NA,16,16
2020-04-17,"LSMU ligoninės Kauno klinikų laboratorija",1756,392,1750,389,6,3,NA,NA,300,300
2020-04-17,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",506,17,506,17,0,0,NA,NA,554,0
2020-04-17,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",651,16,635,0,16,16,NA,NA,0,0
2020-04-17,"Nacionalinio vėžio instituto laboratorija",380,36,379,35,1,1,NA,NA,201,0
2020-04-17,"Respublikinės Šiaulių ligoninės laboratorija",345,14,345,14,0,0,NA,NA,154,0
2020-04-17,"UAB „Baltic Medics“",49,49,49,49,0,0,NA,NA,121,116
2020-04-17,"UAB „Diagnostikos laboratorija“ („Antėja“)",273,138,272,137,1,1,NA,NA,207,0
2020-04-17,"UAB „Medicina practica laboratorija“",185,185,185,185,0,0,NA,NA,4,4
2020-04-17,"VU Gyvybės mokslų centras",243,0,189,0,54,0,NA,NA,0,0
2020-04-17,"VU ligoninės Santaros klinikų laboratorija",857,0,850,0,7,0,NA,NA,264,0
2020-04-18,"Klaipėdos universitetinės ligoninės laboratorija",261,183,220,142,41,41,NA,NA,0,0
2020-04-18,"LSMU ligoninės Kauno klinikų laboratorija",1505,877,1491,872,14,5,NA,NA,0,0
2020-04-18,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",505,0,503,0,2,0,NA,NA,251,0
2020-04-18,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",651,444,644,443,7,1,NA,NA,235,235
2020-04-18,"Nacionalinio vėžio instituto laboratorija",286,41,285,41,1,0,NA,NA,29,0
2020-04-18,"Respublikinės Šiaulių ligoninės laboratorija",417,39,417,39,0,0,NA,NA,36,7
2020-04-18,"UAB „Baltic Medics“",18,0,18,0,0,0,NA,NA,0,0
2020-04-18,"UAB „Diagnostikos laboratorija“ („Antėja“)",542,214,542,214,0,0,NA,NA,2,0
2020-04-18,"UAB „Medicina practica laboratorija“",94,94,94,94,0,0,NA,NA,6,6
2020-04-18,"UAB „SK Impeks Medicinos diagnostikos centras“",138,133,138,133,0,0,NA,NA,0,0
2020-04-18,"VU Gyvybės mokslų centras",151,56,151,56,0,0,NA,NA,0,0
2020-04-18,"VU ligoninės Santaros klinikų laboratorija",651,50,638,50,13,0,NA,NA,10,0
2020-04-19,"Klaipėdos universitetinės ligoninės laboratorija",188,113,177,105,11,8,NA,NA,0,0
2020-04-19,"LSMU ligoninės Kauno klinikų laboratorija",546,230,541,230,5,0,NA,NA,0,0
2020-04-19,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",360,160,354,159,6,1,NA,NA,104,2
2020-04-19,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",651,649,642,642,9,9,NA,NA,210,210
2020-04-19,"Nacionalinio vėžio instituto laboratorija",28,0,28,0,0,0,NA,NA,1,0
2020-04-19,"Respublikinės Šiaulių ligoninės laboratorija",251,142,251,142,0,0,NA,NA,130,48
2020-04-19,"UAB „Diagnostikos laboratorija“ („Antėja“)",28,11,28,11,0,0,NA,NA,0,0
2020-04-19,"UAB „Medicina practica laboratorija“",0,0,0,0,0,0,NA,NA,6,6
2020-04-19,"UAB „SK Impeks Medicinos diagnostikos centras“",64,0,64,0,0,0,NA,NA,0,0
2020-04-19,"VU ligoninės Santaros klinikų laboratorija",194,0,184,0,10,0,NA,NA,25,0
2020-04-20,"Klaipėdos universitetinės ligoninės laboratorija",372,121,370,119,2,2,0,2,240,240
2020-04-20,"LSMU ligoninės Kauno klinikų laboratorija",946,137,941,135,5,2,1,4,50,0
2020-04-20,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",339,77,338,77,1,0,0,1,281,0
2020-04-20,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",650,648,638,638,12,10,2,10,170,170
2020-04-20,"Nacionalinio vėžio instituto laboratorija",169,0,169,0,0,0,0,0,352,0
2020-04-20,"Respublikinės Šiaulių ligoninės laboratorija",340,34,338,34,2,0,1,1,200,14
2020-04-20,"UAB „Baltic Medics“",59,49,59,49,0,0,0,0,0,0
2020-04-20,"UAB „Diagnostikos laboratorija“ („Antėja“)",281,54,281,54,0,0,0,0,176,107
2020-04-20,"UAB „Medicina practica laboratorija“",173,165,173,165,0,0,0,0,25,25
2020-04-20,"VU Gyvybės mokslų centras",264,264,262,262,2,2,0,2,153,153
2020-04-20,"VU ligoninės Santaros klinikų laboratorija",808,0,790,0,18,0,14,4,9,0
2020-04-21,"Klaipėdos universitetinės ligoninės laboratorija",552,143,546,140,NA,3,NA,6,280,280
2020-04-21,"LSMU ligoninės Kauno klinikų laboratorija",1677,339,1676,339,1,0,0,1,200,0
2020-04-21,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",499,0,499,0,0,0,0,0,225,0
2020-04-21,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",651,646,639,639,12,7,5,7,260,260
2020-04-21,"Nacionalinio vėžio instituto laboratorija",486,37,486,37,0,0,0,0,184,0
2020-04-21,"Respublikinės Šiaulių ligoninės laboratorija",96,14,96,14,0,0,0,0,21,0
2020-04-21,"UAB „Baltic Medics“",93,90,93,90,0,0,0,0,0,0
2020-04-21,"UAB „Diagnostikos laboratorija“ („Antėja“)",549,130,547,128,2,2,0,2,403,121
2020-04-21,"UAB „Medicina practica laboratorija“",258,93,258,93,0,0,0,0,21,21
2020-04-21,"VU Gyvybės mokslų centras",308,308,305,305,3,3,0,3,204,204
2020-04-21,"VU ligoninės Santaros klinikų laboratorija",871,0,860,0,11,0,10,1,8,0
2020-04-22,"Klaipėdos universitetinės ligoninės laboratorija",567,131,564,131,3,0,3,0,320,320
2020-04-22,"LSMU ligoninės Kauno klinikų laboratorija",1974,581,1970,580,4,1,1,3,250,150
2020-04-22,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",504,0,500,0,4,0,0,4,225,0
2020-04-22,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",644,644,629,629,15,15,0,15,150,150
2020-04-22,"Nacionalinio vėžio instituto laboratorija",496,30,496,30,0,0,0,0,328,0
2020-04-22,"Respublikinės Šiaulių ligoninės laboratorija",0,0,0,0,0,0,0,0,38,0
2020-04-22,"UAB „Baltic Medics“",157,157,156,156,1,1,0,1,42,42
2020-04-22,"UAB „Diagnostikos laboratorija“ („Antėja“)",555,161,555,161,0,0,0,0,474,140
2020-04-22,"UAB „Medicina practica laboratorija“",640,154,640,154,0,0,0,0,151,151
2020-04-22,"UAB „SK Impeks Medicinos diagnostikos centras“",68,0,68,0,0,0,0,0,0,0
2020-04-22,"VU Gyvybės mokslų centras",386,331,382,327,4,4,0,4,271,0
2020-04-22,"VU ligoninės Santaros klinikų laboratorija",807,0,796,0,11,0,10,1,6,0
2020-04-23,"Klaipėdos universitetinės ligoninės laboratorija",574,201,562,200,12,1,10,2,345,0
2020-04-23,"LSMU ligoninės Kauno klinikų laboratorija",2183,256,2179,255,4,1,3,1,300,300
2020-04-23,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",514,0,513,0,1,0,0,1,225,0
2020-04-23,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",417,336,414,334,3,2,1,2,141,141
2020-04-23,"Nacionalinio vėžio instituto laboratorija",511,10,510,10,1,0,0,1,87,0
2020-04-23,"Respublikinės Šiaulių ligoninės laboratorija",11,0,11,0,0,0,0,0,44,0
2020-04-23,"UAB „Baltic Medics“",216,216,216,216,0,0,0,0,61,61
2020-04-23,"UAB „Diagnostikos laboratorija“ („Antėja“)",652,197,650,196,2,1,1,1,591,120
2020-04-23,"UAB „Medicina practica laboratorija“",809,0,809,0,0,0,0,0,100,100
2020-04-23,"UAB „SK Impeks Medicinos diagnostikos centras“",202,0,201,0,1,0,0,1,199,0
2020-04-23,"VU Gyvybės mokslų centras",463,463,462,462,1,1,0,1,171,23
2020-04-23,"VU ligoninės Santaros klinikų laboratorija",849,0,835,0,14,0,12,2,9,0
2020-04-24,"Klaipėdos universitetinės ligoninės laboratorija",571,54,555,45,16,9,7,9,765,0
2020-04-24,"LSMU ligoninės Kauno klinikų laboratorija",2155,436,2152,436,3,0,2,1,120,0
2020-04-24,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",504,28,504,28,0,0,0,0,225,79
2020-04-24,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",642,639,636,636,6,3,3,3,186,186
2020-04-24,"Nacionalinio vėžio instituto laboratorija",456,0,456,0,0,0,0,0,311,0
2020-04-24,"Respublikinės Šiaulių ligoninės laboratorija",254,0,254,0,0,0,0,0,297,33
2020-04-24,"UAB „Baltic Medics“",151,151,151,151,0,0,0,0,67,67
2020-04-24,"UAB „Diagnostikos laboratorija“ („Antėja“)",654,120,654,120,0,0,0,0,538,115
2020-04-24,"UAB „Invitro diagnostika“",307,0,306,0,1,0,0,1,0,0
2020-04-24,"UAB „Medicina practica laboratorija“",652,135,652,135,0,0,0,0,21,21
2020-04-24,"UAB „SK Impeks Medicinos diagnostikos centras“",205,0,204,0,1,0,0,1,0,0
2020-04-24,"VU Gyvybės mokslų centras",449,59,449,59,0,0,0,0,191,0
2020-04-24,"VU ligoninės Santaros klinikų laboratorija",956,0,946,0,10,0,9,1,282,0
2020-04-25,"Klaipėdos universitetinės ligoninės laboratorija",671,1,656,0,15,1,13,2,200,0
2020-04-25,"LSMU ligoninės Kauno klinikų laboratorija",978,418,974,416,4,2,2,2,0,0
2020-04-25,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",500,51,499,51,1,0,0,1,215,1
2020-04-25,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",582,579,576,576,6,3,3,3,200,200
2020-04-25,"Nacionalinio vėžio instituto laboratorija",319,40,319,40,0,0,0,0,0,0
2020-04-25,"Respublikinės Šiaulių ligoninės laboratorija",326,34,326,34,0,0,0,0,53,0
2020-04-25,"UAB „Baltic Medics“",245,243,244,242,1,1,0,1,0,0
2020-04-25,"UAB „Diagnostikos laboratorija“ („Antėja“)",648,176,648,176,0,0,0,0,23,23
2020-04-25,"UAB „Medicina practica laboratorija“",553,57,553,57,0,0,0,0,104,0
2020-04-25,"VU Gyvybės mokslų centras",201,0,201,0,0,0,0,0,0,0
2020-04-25,"VU ligoninės Santaros klinikų laboratorija",517,52,503,52,14,0,11,3,9,0
2020-04-26,"Klaipėdos universitetinės ligoninės laboratorija",446,22,441,21,5,1,3,2,0,0
2020-04-26,"LSMU ligoninės Kauno klinikų laboratorija",374,51,371,51,3,0,1,2,0,0
2020-04-26,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",490,112,490,112,0,0,0,0,0,0
2020-04-26,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",420,229,412,222,8,7,1,7,0,0
2020-04-26,"Nacionalinio vėžio instituto laboratorija",14,0,14,0,0,0,0,0,0,0
2020-04-26,"Respublikinės Šiaulių ligoninės laboratorija",217,0,217,0,0,0,0,0,55,0
2020-04-26,"UAB „Diagnostikos laboratorija“ („Antėja“)",23,23,23,23,0,0,0,0,0,0
2020-04-26,"UAB „Medicina practica laboratorija“",104,0,104,0,0,0,0,0,0,0
2020-04-26,"VU ligoninės Santaros klinikų laboratorija",199,0,189,0,10,0,10,0,8,0
2020-04-27,"Klaipėdos universitetinės ligoninės laboratorija",491,144,483,143,8,1,NA,NA,139,49
2020-04-27,"LSMU ligoninės Kauno klinikų laboratorija",1468,285,1465,285,3,0,NA,NA,0,0
2020-04-27,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",496,114,496,114,0,0,NA,NA,225,40
2020-04-27,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",205,155,203,154,2,1,NA,NA,137,137
2020-04-27,"Nacionalinio vėžio instituto laboratorija",203,0,203,0,0,0,NA,NA,0,0
2020-04-27,"Respublikinės Panevėžio ligoninės laboratorija",24,0,24,0,0,0,NA,NA,0,0
2020-04-27,"Respublikinės Šiaulių ligoninės laboratorija",259,0,259,0,0,0,NA,NA,172,30
2020-04-27,"UAB „Baltic Medics“",331,331,331,331,0,0,NA,NA,1,1
2020-04-27,"UAB „Diagnostikos laboratorija“ („Antėja“)",345,66,345,66,0,0,NA,NA,463,108
2020-04-27,"UAB „Medicina practica laboratorija“",445,76,445,76,0,0,NA,NA,53,0
2020-04-27,"UAB „SK Impeks Medicinos diagnostikos centras“",36,0,36,0,0,0,NA,NA,0,0
2020-04-27,"VU ligoninės Santaros klinikų laboratorija",731,0,726,0,5,0,NA,NA,19,0
2020-04-28,"Klaipėdos universitetinės ligoninės laboratorija",561,115,539,115,22,0,NA,NA,139,22
2020-04-28,"LSMU ligoninės Kauno klinikų laboratorija",1706,273,1706,273,0,0,NA,NA,0,0
2020-04-28,"Nacionalinė visuomenės sveikatos priežiūros laboratorija",596,113,596,113,0,0,NA,NA,225,12
2020-04-28,"Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",579,579,570,570,9,4,NA,NA,186,186
2020-04-28,"Nacionalinio vėžio instituto laboratorija",240,0,240,0,0,0,NA,NA,224,0
2020-04-28,"Respublikinės Panevėžio ligoninės laboratorija",24,0,24,0,0,0,NA,NA,0,0
