"administrative_level_2","administrative_level_3","age","population"
"Kauno apskr.","Kėdainių r.","5-9",2248
"Kauno apskr.","Kėdainių r.","50-54",3687
"Kauno apskr.","Kėdainių r.","55-59",3626
"Kauno apskr.","Kėdainių r.","60-64",3431
"Kauno apskr.","Kėdainių r.","65-69",2873
"Kauno apskr.","Kėdainių r.","70-74",2320
"Kauno apskr.","Kėdainių r.","75-79",2105
"Kauno apskr.","Kėdainių r.","80+",3012
"Kauno apskr.","Prienų r.","0-4",1058
"Kauno apskr.","Prienų r.","10-14",1098
"Kauno apskr.","Prienų r.","15-19",1307
"Kauno apskr.","Prienų r.","20-24",1513
"Kauno apskr.","Prienų r.","25-29",1675
"Kauno apskr.","Prienų r.","30-34",1226
"Kauno apskr.","Prienų r.","35-39",1103
"Kauno apskr.","Prienų r.","40-44",1330
"Kauno apskr.","Prienų r.","45-49",1717
"Kauno apskr.","Prienų r.","5-9",1256
"Kauno apskr.","Prienų r.","50-54",1952
"Kauno apskr.","Prienų r.","55-59",2157
"Kauno apskr.","Prienų r.","60-64",2086
"Kauno apskr.","Prienų r.","65-69",1592
"Kauno apskr.","Prienų r.","70-74",1218
"Kauno apskr.","Prienų r.","75-79",1176
"Kauno apskr.","Prienų r.","80+",2002
"Kauno apskr.","Raseinių r.","0-4",1264
"Kauno apskr.","Raseinių r.","10-14",1341
"Kauno apskr.","Raseinių r.","15-19",1668
"Kauno apskr.","Raseinių r.","20-24",1991
"Kauno apskr.","Raseinių r.","25-29",1958
"Kauno apskr.","Raseinių r.","30-34",1320
"Kauno apskr.","Raseinių r.","35-39",1256
"Kauno apskr.","Raseinių r.","40-44",1560
"Kauno apskr.","Raseinių r.","45-49",2178
"Kauno apskr.","Raseinių r.","5-9",1521
"Kauno apskr.","Raseinių r.","50-54",2470
"Kauno apskr.","Raseinių r.","55-59",2558
"Kauno apskr.","Raseinių r.","60-64",2424
"Kauno apskr.","Raseinių r.","65-69",1858
"Kauno apskr.","Raseinių r.","70-74",1527
"Kauno apskr.","Raseinių r.","75-79",1479
"Kauno apskr.","Raseinių r.","80+",2235
"Klaipėdos apskr.","Klaipėdos m.","0-4",8523
"Klaipėdos apskr.","Klaipėdos m.","10-14",7625
"Klaipėdos apskr.","Klaipėdos m.","15-19",5900
"Klaipėdos apskr.","Klaipėdos m.","20-24",6722
"Klaipėdos apskr.","Klaipėdos m.","25-29",9428
"Klaipėdos apskr.","Klaipėdos m.","30-34",11847
"Klaipėdos apskr.","Klaipėdos m.","35-39",11276
"Klaipėdos apskr.","Klaipėdos m.","40-44",9849
"Klaipėdos apskr.","Klaipėdos m.","45-49",9452
"Klaipėdos apskr.","Klaipėdos m.","5-9",8629
"Klaipėdos apskr.","Klaipėdos m.","50-54",9288
"Klaipėdos apskr.","Klaipėdos m.","55-59",10273
"Klaipėdos apskr.","Klaipėdos m.","60-64",10833
"Klaipėdos apskr.","Klaipėdos m.","65-69",8490
"Klaipėdos apskr.","Klaipėdos m.","70-74",6844
"Klaipėdos apskr.","Klaipėdos m.","75-79",5168
"Klaipėdos apskr.","Klaipėdos m.","80+",8909
"Klaipėdos apskr.","Klaipėdos r.","0-4",3327
"Klaipėdos apskr.","Klaipėdos r.","10-14",3710
"Klaipėdos apskr.","Klaipėdos r.","15-19",3079
"Klaipėdos apskr.","Klaipėdos r.","20-24",3386
"Klaipėdos apskr.","Klaipėdos r.","25-29",4231
"Klaipėdos apskr.","Klaipėdos r.","30-34",4515
"Klaipėdos apskr.","Klaipėdos r.","35-39",4690
"Klaipėdos apskr.","Klaipėdos r.","40-44",4712
"Klaipėdos apskr.","Klaipėdos r.","45-49",4952
"Klaipėdos apskr.","Klaipėdos r.","5-9",3414
"Klaipėdos apskr.","Klaipėdos r.","50-54",4755
"Klaipėdos apskr.","Klaipėdos r.","55-59",4564
"Klaipėdos apskr.","Klaipėdos r.","60-64",4107
"Klaipėdos apskr.","Klaipėdos r.","65-69",2842
"Klaipėdos apskr.","Klaipėdos r.","70-74",2191
"Klaipėdos apskr.","Klaipėdos r.","75-79",1623
"Klaipėdos apskr.","Klaipėdos r.","80+",2550
"Klaipėdos apskr.","Kretingos r.","0-4",1939
"Klaipėdos apskr.","Kretingos r.","10-14",1903
"Klaipėdos apskr.","Kretingos r.","15-19",1943
"Klaipėdos apskr.","Kretingos r.","20-24",2304
"Klaipėdos apskr.","Kretingos r.","25-29",2526
"Klaipėdos apskr.","Kretingos r.","30-34",1910
"Klaipėdos apskr.","Kretingos r.","35-39",1910
"Klaipėdos apskr.","Kretingos r.","40-44",2102
"Klaipėdos apskr.","Kretingos r.","45-49",2641
"Klaipėdos apskr.","Kretingos r.","5-9",1985
"Klaipėdos apskr.","Kretingos r.","50-54",2939
"Klaipėdos apskr.","Kretingos r.","55-59",2983
"Klaipėdos apskr.","Kretingos r.","60-64",2719
"Klaipėdos apskr.","Kretingos r.","65-69",2089
"Klaipėdos apskr.","Kretingos r.","70-74",1698
"Klaipėdos apskr.","Kretingos r.","75-79",1451
"Klaipėdos apskr.","Kretingos r.","80+",2281
"Klaipėdos apskr.","Neringos","0-4",189
"Klaipėdos apskr.","Neringos","10-14",122
"Klaipėdos apskr.","Neringos","15-19",150
"Klaipėdos apskr.","Neringos","20-24",172
"Klaipėdos apskr.","Neringos","25-29",221
"Klaipėdos apskr.","Neringos","30-34",257
"Klaipėdos apskr.","Neringos","35-39",313
"Klaipėdos apskr.","Neringos","40-44",314
"Klaipėdos apskr.","Neringos","45-49",306
"Klaipėdos apskr.","Neringos","5-9",195
"Klaipėdos apskr.","Neringos","50-54",316
"Klaipėdos apskr.","Neringos","55-59",319
"Klaipėdos apskr.","Neringos","60-64",266
"Klaipėdos apskr.","Neringos","65-69",189
"Klaipėdos apskr.","Neringos","70-74",128
"Klaipėdos apskr.","Neringos","75-79",77
"Klaipėdos apskr.","Neringos","80+",107
"Klaipėdos apskr.","Palangos m.","0-4",759
"Klaipėdos apskr.","Palangos m.","10-14",779
"Klaipėdos apskr.","Palangos m.","15-19",622
"Klaipėdos apskr.","Palangos m.","20-24",763
"Klaipėdos apskr.","Palangos m.","25-29",878
"Klaipėdos apskr.","Palangos m.","30-34",814
"Klaipėdos apskr.","Palangos m.","35-39",889
"Klaipėdos apskr.","Palangos m.","40-44",947
"Klaipėdos apskr.","Palangos m.","45-49",1149
"Klaipėdos apskr.","Palangos m.","5-9",797
"Klaipėdos apskr.","Palangos m.","50-54",1193
"Klaipėdos apskr.","Palangos m.","55-59",1363
"Klaipėdos apskr.","Palangos m.","60-64",1487
"Klaipėdos apskr.","Palangos m.","65-69",1184
"Klaipėdos apskr.","Palangos m.","70-74",987
"Klaipėdos apskr.","Palangos m.","75-79",739
"Klaipėdos apskr.","Palangos m.","80+",1079
"Klaipėdos apskr.","Šilutės r.","0-4",1842
"Klaipėdos apskr.","Šilutės r.","10-14",1850
"Klaipėdos apskr.","Šilutės r.","15-19",1928
"Klaipėdos apskr.","Šilutės r.","20-24",2485
"Klaipėdos apskr.","Šilutės r.","25-29",2467
"Klaipėdos apskr.","Šilutės r.","30-34",1811
"Klaipėdos apskr.","Šilutės r.","35-39",1383
"Klaipėdos apskr.","Šilutės r.","40-44",1759
"Klaipėdos apskr.","Šilutės r.","45-49",2560
"Klaipėdos apskr.","Šilutės r.","5-9",2180
"Klaipėdos apskr.","Šilutės r.","50-54",3001
"Klaipėdos apskr.","Šilutės r.","55-59",3226
"Klaipėdos apskr.","Šilutės r.","60-64",2977
"Klaipėdos apskr.","Šilutės r.","65-69",2149
"Klaipėdos apskr.","Šilutės r.","70-74",1775
"Klaipėdos apskr.","Šilutės r.","75-79",1397
"Klaipėdos apskr.","Šilutės r.","80+",2297
"Klaipėdos apskr.","Skuodo r.","0-4",742
"Klaipėdos apskr.","Skuodo r.","10-14",660
"Klaipėdos apskr.","Skuodo r.","15-19",842
"Klaipėdos apskr.","Skuodo r.","20-24",1133
"Klaipėdos apskr.","Skuodo r.","25-29",995
"Klaipėdos apskr.","Skuodo r.","30-34",444
"Klaipėdos apskr.","Skuodo r.","35-39",313
"Klaipėdos apskr.","Skuodo r.","40-44",682
"Klaipėdos apskr.","Skuodo r.","45-49",989
"Klaipėdos apskr.","Skuodo r.","5-9",782
"Klaipėdos apskr.","Skuodo r.","50-54",1326
"Klaipėdos apskr.","Skuodo r.","55-59",1453
"Klaipėdos apskr.","Skuodo r.","60-64",1364
"Klaipėdos apskr.","Skuodo r.","65-69",1135
"Klaipėdos apskr.","Skuodo r.","70-74",963
"Klaipėdos apskr.","Skuodo r.","75-79",827
"Klaipėdos apskr.","Skuodo r.","80+",1015
"Marijampolės apskr.","Kalvarijos","0-4",503
"Marijampolės apskr.","Kalvarijos","10-14",518
"Marijampolės apskr.","Kalvarijos","15-19",607
"Marijampolės apskr.","Kalvarijos","20-24",713
"Marijampolės apskr.","Kalvarijos","25-29",695
"Marijampolės apskr.","Kalvarijos","30-34",462
"Marijampolės apskr.","Kalvarijos","35-39",457
"Marijampolės apskr.","Kalvarijos","40-44",498
"Marijampolės apskr.","Kalvarijos","45-49",720
"Marijampolės apskr.","Kalvarijos","5-9",564
"Marijampolės apskr.","Kalvarijos","50-54",794
"Marijampolės apskr.","Kalvarijos","55-59",807
"Marijampolės apskr.","Kalvarijos","60-64",726
"Marijampolės apskr.","Kalvarijos","65-69",559
"Marijampolės apskr.","Kalvarijos","70-74",362
"Marijampolės apskr.","Kalvarijos","75-79",360
"Marijampolės apskr.","Kalvarijos","80+",608
"Marijampolės apskr.","Kazlų Rūdos","0-4",507
"Marijampolės apskr.","Kazlų Rūdos","10-14",541
"Marijampolės apskr.","Kazlų Rūdos","15-19",659
"Marijampolės apskr.","Kazlų Rūdos","20-24",680
"Marijampolės apskr.","Kazlų Rūdos","25-29",684
"Marijampolės apskr.","Kazlų Rūdos","30-34",608
"Marijampolės apskr.","Kazlų Rūdos","35-39",502
"Marijampolės apskr.","Kazlų Rūdos","40-44",625
"Marijampolės apskr.","Kazlų Rūdos","45-49",785
"Marijampolės apskr.","Kazlų Rūdos","5-9",583
"Marijampolės apskr.","Kazlų Rūdos","50-54",828
"Marijampolės apskr.","Kazlų Rūdos","55-59",890
"Marijampolės apskr.","Kazlų Rūdos","60-64",859
"Marijampolės apskr.","Kazlų Rūdos","65-69",614
"Marijampolės apskr.","Kazlų Rūdos","70-74",587
"Marijampolės apskr.","Kazlų Rūdos","75-79",470
"Marijampolės apskr.","Kazlų Rūdos","80+",717
"Marijampolės apskr.","Marijampolės","0-4",2590
"Marijampolės apskr.","Marijampolės","10-14",2602
"Marijampolės apskr.","Marijampolės","15-19",2615
"Marijampolės apskr.","Marijampolės","20-24",3005
"Marijampolės apskr.","Marijampolės","25-29",3535
"Marijampolės apskr.","Marijampolės","30-34",3182
"Marijampolės apskr.","Marijampolės","35-39",3045
"Marijampolės apskr.","Marijampolės","40-44",3243
"Marijampolės apskr.","Marijampolės","45-49",3587
"Marijampolės apskr.","Marijampolės","5-9",2792
"Marijampolės apskr.","Marijampolės","50-54",4188
"Marijampolės apskr.","Marijampolės","55-59",4466
"Marijampolės apskr.","Marijampolės","60-64",4164
"Marijampolės apskr.","Marijampolės","65-69",3109
"Marijampolės apskr.","Marijampolės","70-74",2240
"Marijampolės apskr.","Marijampolės","75-79",2040
"Marijampolės apskr.","Marijampolės","80+",3077
"Marijampolės apskr.","Šakių r.","0-4",1080
"Marijampolės apskr.","Šakių r.","10-14",1137
"Marijampolės apskr.","Šakių r.","15-19",1455
"Marijampolės apskr.","Šakių r.","20-24",1854
"Marijampolės apskr.","Šakių r.","25-29",1825
"Marijampolės apskr.","Šakių r.","30-34",1111
"Marijampolės apskr.","Šakių r.","35-39",901
"Marijampolės apskr.","Šakių r.","40-44",1214
"Marijampolės apskr.","Šakių r.","45-49",1773
"Marijampolės apskr.","Šakių r.","5-9",1354
"Marijampolės apskr.","Šakių r.","50-54",2136
"Marijampolės apskr.","Šakių r.","55-59",2290
"Marijampolės apskr.","Šakių r.","60-64",2157
"Marijampolės apskr.","Šakių r.","65-69",1428
"Marijampolės apskr.","Šakių r.","70-74",1237
"Marijampolės apskr.","Šakių r.","75-79",1179
"Marijampolės apskr.","Šakių r.","80+",1939
"Marijampolės apskr.","Vilkaviškio r.","0-4",1513
"Marijampolės apskr.","Vilkaviškio r.","10-14",1583
"Marijampolės apskr.","Vilkaviškio r.","15-19",1867
"Marijampolės apskr.","Vilkaviškio r.","20-24",2319
"Marijampolės apskr.","Vilkaviškio r.","25-29",2205
"Marijampolės apskr.","Vilkaviškio r.","30-34",1530
"Marijampolės apskr.","Vilkaviškio r.","35-39",1223
"Marijampolės apskr.","Vilkaviškio r.","40-44",1819
"Marijampolės apskr.","Vilkaviškio r.","45-49",2438
"Marijampolės apskr.","Vilkaviškio r.","5-9",1743
"Marijampolės apskr.","Vilkaviškio r.","50-54",2700
"Marijampolės apskr.","Vilkaviškio r.","55-59",2893
"Marijampolės apskr.","Vilkaviškio r.","60-64",2663
"Marijampolės apskr.","Vilkaviškio r.","65-69",2205
"Marijampolės apskr.","Vilkaviškio r.","70-74",1697
"Marijampolės apskr.","Vilkaviškio r.","75-79",1591
"Marijampolės apskr.","Vilkaviškio r.","80+",2242
"Panevėžio apskr.","Biržų r.","0-4",926
"Panevėžio apskr.","Biržų r.","10-14",857
"Panevėžio apskr.","Biržų r.","15-19",1171
"Panevėžio apskr.","Biržų r.","20-24",1454
"Panevėžio apskr.","Biržų r.","25-29",1536
"Panevėžio apskr.","Biržų r.","30-34",875
"Panevėžio apskr.","Biržų r.","35-39",582
"Panevėžio apskr.","Biržų r.","40-44",952
"Panevėžio apskr.","Biržų r.","45-49",1647
"Panevėžio apskr.","Biržų r.","5-9",974
"Panevėžio apskr.","Biržų r.","50-54",1902
"Panevėžio apskr.","Biržų r.","55-59",1880
"Panevėžio apskr.","Biržų r.","60-64",1796
"Panevėžio apskr.","Biržų r.","65-69",1428
"Panevėžio apskr.","Biržų r.","70-74",1259
"Panevėžio apskr.","Biržų r.","75-79",1140
"Panevėžio apskr.","Biržų r.","80+",1926
"Panevėžio apskr.","Kupiškio r.","0-4",655
"Panevėžio apskr.","Kupiškio r.","10-14",642
"Panevėžio apskr.","Kupiškio r.","15-19",847
"Panevėžio apskr.","Kupiškio r.","20-24",1027
"Panevėžio apskr.","Kupiškio r.","25-29",1022
"Panevėžio apskr.","Kupiškio r.","30-34",607
"Panevėžio apskr.","Kupiškio r.","35-39",479
"Panevėžio apskr.","Kupiškio r.","40-44",765
"Panevėžio apskr.","Kupiškio r.","45-49",1044
"Panevėžio apskr.","Kupiškio r.","5-9",742
"Panevėžio apskr.","Kupiškio r.","50-54",1422
"Panevėžio apskr.","Kupiškio r.","55-59",1506
"Panevėžio apskr.","Kupiškio r.","60-64",1307
"Panevėžio apskr.","Kupiškio r.","65-69",994
"Panevėžio apskr.","Kupiškio r.","70-74",850
"Panevėžio apskr.","Kupiškio r.","75-79",838
"Panevėžio apskr.","Kupiškio r.","80+",1315
"Panevėžio apskr.","Panevėžio m.","0-4",3836
"Panevėžio apskr.","Panevėžio m.","10-14",3742
"Panevėžio apskr.","Panevėžio m.","15-19",3804
"Panevėžio apskr.","Panevėžio m.","20-24",4567
"Panevėžio apskr.","Panevėžio m.","25-29",5091
"Panevėžio apskr.","Panevėžio m.","30-34",4380
"Panevėžio apskr.","Panevėžio m.","35-39",3825
"Panevėžio apskr.","Panevėžio m.","40-44",4614
"Panevėžio apskr.","Panevėžio m.","45-49",5844
"Panevėžio apskr.","Panevėžio m.","5-9",4093
"Panevėžio apskr.","Panevėžio m.","50-54",6594
"Panevėžio apskr.","Panevėžio m.","55-59",7577
"Panevėžio apskr.","Panevėžio m.","60-64",7042
"Panevėžio apskr.","Panevėžio m.","65-69",5145
"Panevėžio apskr.","Panevėžio m.","70-74",4403
"Panevėžio apskr.","Panevėžio m.","75-79",4086
"Panevėžio apskr.","Panevėžio m.","80+",5970
"Panevėžio apskr.","Panevėžio r.","0-4",1515
"Panevėžio apskr.","Panevėžio r.","10-14",1694
"Panevėžio apskr.","Panevėžio r.","15-19",1964
"Panevėžio apskr.","Panevėžio r.","20-24",2190
"Panevėžio apskr.","Panevėžio r.","25-29",2330
"Panevėžio apskr.","Panevėžio r.","30-34",1750
"Panevėžio apskr.","Panevėžio r.","35-39",1509
"Panevėžio apskr.","Panevėžio r.","40-44",1884
"Panevėžio apskr.","Panevėžio r.","45-49",2468
"Panevėžio apskr.","Panevėžio r.","5-9",1722
"Panevėžio apskr.","Panevėžio r.","50-54",2983
"Panevėžio apskr.","Panevėžio r.","55-59",3090
"Panevėžio apskr.","Panevėžio r.","60-64",2823
"Panevėžio apskr.","Panevėžio r.","65-69",2013
"Panevėžio apskr.","Panevėžio r.","70-74",1642
"Panevėžio apskr.","Panevėžio r.","75-79",1463
"Panevėžio apskr.","Panevėžio r.","80+",2142
"Panevėžio apskr.","Pasvalio r.","0-4",983
"Panevėžio apskr.","Pasvalio r.","10-14",959
"Panevėžio apskr.","Pasvalio r.","15-19",1225
"Panevėžio apskr.","Pasvalio r.","20-24",1449
"Panevėžio apskr.","Pasvalio r.","25-29",1555
"Panevėžio apskr.","Pasvalio r.","30-34",822
"Panevėžio apskr.","Pasvalio r.","35-39",759
"Panevėžio apskr.","Pasvalio r.","40-44",1058
"Panevėžio apskr.","Pasvalio r.","45-49",1586
"Panevėžio apskr.","Pasvalio r.","5-9",1135
"Panevėžio apskr.","Pasvalio r.","50-54",1976
"Panevėžio apskr.","Pasvalio r.","55-59",1955
"Panevėžio apskr.","Pasvalio r.","60-64",1718
"Panevėžio apskr.","Pasvalio r.","65-69",1352
"Panevėžio apskr.","Pasvalio r.","70-74",1169
"Panevėžio apskr.","Pasvalio r.","75-79",1071
"Panevėžio apskr.","Pasvalio r.","80+",1567
"Panevėžio apskr.","Rokiškio r.","0-4",982
"Panevėžio apskr.","Rokiškio r.","10-14",1119
"Panevėžio apskr.","Rokiškio r.","15-19",1337
"Panevėžio apskr.","Rokiškio r.","20-24",1638
"Panevėžio apskr.","Rokiškio r.","25-29",1728
"Panevėžio apskr.","Rokiškio r.","30-34",999
"Panevėžio apskr.","Rokiškio r.","35-39",864
"Panevėžio apskr.","Rokiškio r.","40-44",1289
"Panevėžio apskr.","Rokiškio r.","45-49",2032
"Panevėžio apskr.","Rokiškio r.","5-9",1187
"Panevėžio apskr.","Rokiškio r.","50-54",2432
"Panevėžio apskr.","Rokiškio r.","55-59",2521
"Panevėžio apskr.","Rokiškio r.","60-64",2447
"Panevėžio apskr.","Rokiškio r.","65-69",1833
"Panevėžio apskr.","Rokiškio r.","70-74",1377
"Panevėžio apskr.","Rokiškio r.","75-79",1393
"Panevėžio apskr.","Rokiškio r.","80+",2337
"Šiaulių apskr.","Akmenės r.","0-4",835
