"lab_name","test_performed","test_type","tests_positive","tests_negative","gmp_indication"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-28T00:00:00Z","1477",7,289,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-28T00:00:00Z","1477",3,161,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-03-28T00:00:00Z","1477",2,30,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-03-28T00:00:00Z","1477",11,135,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-03-28T00:00:00Z","1477",15,314,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-29T00:00:00Z","1477",7,489,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-29T00:00:00Z","1477",1,109,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-03-29T00:00:00Z","1477",5,158,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-03-29T00:00:00Z","1477",2,166,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-03-29T00:00:00Z","1477",3,63,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-30T00:00:00Z","1477",14,485,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-30T00:00:00Z","1477",13,314,"profilaktika"
"UAB Medicina practica laboratorija","2020-03-30T00:00:00Z","1477",0,11,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-03-30T00:00:00Z","1477",49,203,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-03-30T00:00:00Z","1477",3,168,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-03-30T00:00:00Z","1477",11,395,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-03-31T00:00:00Z","1477",1,220,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-03-31T00:00:00Z","1477",8,514,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-03-31T00:00:00Z","1477",0,39,"profilaktika"
"UAB Medicina practica laboratorija","2020-03-31T00:00:00Z","1477",0,98,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-03-31T00:00:00Z","1477",21,120,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-03-31T00:00:00Z","1477",6,113,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-03-31T00:00:00Z","1477",8,314,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-01T00:00:00Z","1477",11,601,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-01T00:00:00Z","1477",18,619,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-04-01T00:00:00Z","1477",2,41,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-01T00:00:00Z","1477",0,190,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-01T00:00:00Z","1477",23,238,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-01T00:00:00Z","1477",6,149,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-01T00:00:00Z","1477",14,365,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-02T00:00:00Z","1477",11,664,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-02T00:00:00Z","1477",14,791,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-04-02T00:00:00Z","1477",2,52,"profilaktika"
"UAB Diagnostikos laboratorija","2020-04-02T00:00:00Z","1477",0,22,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-02T00:00:00Z","1477",0,84,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-02T00:00:00Z","1477",17,224,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-02T00:00:00Z","1477",7,186,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-02T00:00:00Z","1477",12,407,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-03T00:00:00Z","1477",7,502,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-03T00:00:00Z","1477",22,655,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-03T00:00:00Z","1477",0,80,"profilaktika"
"UAB ""Baltic Medics""","2020-04-03T00:00:00Z","1477",3,13,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-04-03T00:00:00Z","1477",0,1,"profilaktika"
"UAB Diagnostikos laboratorija","2020-04-03T00:00:00Z","1477",2,76,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-03T00:00:00Z","1477",0,189,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-03T00:00:00Z","1477",0,9,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-03T00:00:00Z","1477",10,405,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-03T00:00:00Z","1477",10,303,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-04T00:00:00Z","1477",4,765,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-04T00:00:00Z","1477",15,744,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-04T00:00:00Z","1477",8,177,"profilaktika"
"UAB Diagnostikos laboratorija","2020-04-04T00:00:00Z","1477",1,42,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-04T00:00:00Z","1477",0,79,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-04T00:00:00Z","1477",16,68,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-04T00:00:00Z","1477",2,175,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-04T00:00:00Z","1477",5,212,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-05T00:00:00Z","1477",5,622,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-05T00:00:00Z","1477",6,476,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-05T00:00:00Z","1477",1,210,"profilaktika"
"UAB Diagnostikos laboratorija","2020-04-05T00:00:00Z","1477",1,51,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-05T00:00:00Z","1477",1,415,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-05T00:00:00Z","1477",16,174,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-05T00:00:00Z","1477",3,185,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-05T00:00:00Z","1477",0,3,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-06T00:00:00Z","1477",14,204,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-06T00:00:00Z","1477",5,647,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-04-06T00:00:00Z","1477",1,102,"profilaktika"
"UAB Diagnostikos laboratorija","2020-04-06T00:00:00Z","1477",2,45,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-06T00:00:00Z","1477",1,11,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-06T00:00:00Z","1477",4,88,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-06T00:00:00Z","1477",5,158,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-06T00:00:00Z","1477",21,466,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-07T00:00:00Z","1477",17,769,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-07T00:00:00Z","1477",11,277,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-07T00:00:00Z","1477",1,62,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-04-07T00:00:00Z","1477",0,13,"profilaktika"
"UAB Diagnostikos laboratorija","2020-04-07T00:00:00Z","1477",0,3,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-07T00:00:00Z","1477",9,377,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-07T00:00:00Z","1477",2,248,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-07T00:00:00Z","1477",6,147,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-08T00:00:00Z","1477",10,883,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-08T00:00:00Z","1477",22,204,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-08T00:00:00Z","1477",1,114,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-08T00:00:00Z","1477",1,72,"profilaktika"
"UAB ""Baltic Medics""","2020-04-08T00:00:00Z","1477",0,6,"profilaktika"
"UAB Diagnostikos laboratorija","2020-04-08T00:00:00Z","1477",1,1,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-08T00:00:00Z","1477",0,26,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-08T00:00:00Z","1477",19,403,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-08T00:00:00Z","1477",0,320,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-08T00:00:00Z","1477",8,61,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-09T00:00:00Z","1477",18,1178,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-09T00:00:00Z","1477",5,314,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-09T00:00:00Z","1477",12,498,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-09T00:00:00Z","1477",1,146,"profilaktika"
"UAB ""Baltic Medics""","2020-04-09T00:00:00Z","1477",0,16,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-09T00:00:00Z","1477",0,76,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-09T00:00:00Z","1477",8,393,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-09T00:00:00Z","1477",1,253,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-09T00:00:00Z","1477",9,306,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-10T00:00:00Z","1477",5,996,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-10T00:00:00Z","1477",15,271,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-10T00:00:00Z","1477",7,328,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-10T00:00:00Z","1477",1,148,"profilaktika"
"UAB ""Baltic Medics""","2020-04-10T00:00:00Z","1477",0,33,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-04-10T00:00:00Z","1477",0,18,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-10T00:00:00Z","1477",0,159,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-10T00:00:00Z","1477",17,432,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-10T00:00:00Z","1477",2,248,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-10T00:00:00Z","1477",3,86,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-11T00:00:00Z","1477",5,959,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-11T00:00:00Z","1477",2,312,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-11T00:00:00Z","1477",18,293,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-11T00:00:00Z","1477",0,199,"profilaktika"
"UAB ""Baltic Medics""","2020-04-11T00:00:00Z","1477",1,38,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-11T00:00:00Z","1477",0,151,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-11T00:00:00Z","1477",27,345,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-11T00:00:00Z","1477",1,137,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-11T00:00:00Z","1477",8,255,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-12T00:00:00Z","1477",4,229,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-12T00:00:00Z","1477",2,49,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-12T00:00:00Z","1477",2,158,"profilaktika"
"UAB ""Baltic Medics""","2020-04-12T00:00:00Z","1477",0,1,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-12T00:00:00Z","1477",21,186,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-12T00:00:00Z","1477",0,118,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-12T00:00:00Z","1477",2,73,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-13T00:00:00Z","1477",1,84,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-13T00:00:00Z","1477",0,2,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-13T00:00:00Z","1477",2,151,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-13T00:00:00Z","1477",16,270,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-13T00:00:00Z","1477",0,113,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-13T00:00:00Z","1477",2,113,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-14T00:00:00Z","1477",5,442,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-14T00:00:00Z","1477",5,205,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-14T00:00:00Z","1477",4,86,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-14T00:00:00Z","1477",0,45,"profilaktika"
"UAB ""Baltic Medics""","2020-04-14T00:00:00Z","1477",0,20,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-04-14T00:00:00Z","1477",0,8,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-14T00:00:00Z","1477",0,272,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-14T00:00:00Z","1477",9,239,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-14T00:00:00Z","1477",0,119,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-14T00:00:00Z","1477",4,158,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-15T00:00:00Z","1477",3,1192,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-15T00:00:00Z","1477",5,351,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-15T00:00:00Z","1477",11,336,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-15T00:00:00Z","1477",0,49,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-04-15T00:00:00Z","1477",0,5,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-15T00:00:00Z","1477",0,26,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-15T00:00:00Z","1477",27,420,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-15T00:00:00Z","1477",0,333,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-15T00:00:00Z","1477",14,241,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-16T00:00:00Z","1477",5,1561,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-16T00:00:00Z","1477",9,321,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-16T00:00:00Z","1477",7,268,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-16T00:00:00Z","1477",0,176,"profilaktika"
"UAB ""Baltic Medics""","2020-04-16T00:00:00Z","1477",0,45,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-16T00:00:00Z","1477",0,242,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-16T00:00:00Z","1477",18,427,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-16T00:00:00Z","1477",1,491,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-16T00:00:00Z","1477",10,653,"profilaktika"
"Vilniaus universitetas","2020-04-16T00:00:00Z","1477",1,23,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-17T00:00:00Z","1477",7,1761,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-17T00:00:00Z","1477",0,487,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-17T00:00:00Z","1477",16,532,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-17T00:00:00Z","1477",1,372,"profilaktika"
"UAB ""Baltic Medics""","2020-04-17T00:00:00Z","1477",0,48,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-04-17T00:00:00Z","1477",0,5,"profilaktika"
"UAB Diagnostikos laboratorija","2020-04-17T00:00:00Z","1477",1,222,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-17T00:00:00Z","1477",18,409,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-17T00:00:00Z","1477",0,336,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-17T00:00:00Z","1477",8,751,"profilaktika"
"Vilniaus universitetas","2020-04-17T00:00:00Z","1477",46,244,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-18T00:00:00Z","1477",10,1706,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-18T00:00:00Z","1477",2,505,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-18T00:00:00Z","1477",7,645,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-18T00:00:00Z","1477",1,258,"profilaktika"
"UAB ""Baltic Medics""","2020-04-18T00:00:00Z","1477",0,59,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-04-18T00:00:00Z","1477",0,20,"profilaktika"
"UAB Diagnostikos laboratorija","2020-04-18T00:00:00Z","1477",0,537,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-18T00:00:00Z","1477",0,108,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-18T00:00:00Z","1477",52,188,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-18T00:00:00Z","1477",0,450,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-18T00:00:00Z","1477",11,1098,"profilaktika"
"Vilniaus universitetas","2020-04-18T00:00:00Z","1477",8,142,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-19T00:00:00Z","1477",6,765,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-19T00:00:00Z","1477",6,341,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-19T00:00:00Z","1477",9,604,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-19T00:00:00Z","1477",0,38,"profilaktika"
"UAB ""Baltic Medics""","2020-04-19T00:00:00Z","1477",0,79,"profilaktika"
"UAB ""SK IMPEKS MEDICINOS DIAGNOSTIKOS CENTRAS""","2020-04-19T00:00:00Z","1477",0,64,"profilaktika"
"UAB Diagnostikos laboratorija","2020-04-19T00:00:00Z","1477",0,66,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-19T00:00:00Z","1477",12,165,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-19T00:00:00Z","1477",0,283,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-19T00:00:00Z","1477",4,212,"profilaktika"
"Vilniaus universitetas","2020-04-19T00:00:00Z","1477",0,114,"profilaktika"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","2020-04-20T00:00:00Z","1477",5,517,"profilaktika"
"Nacionalinė visuomenės sveikatos priežiūros laboratorija","2020-04-20T00:00:00Z","1477",1,324,"profilaktika"
"Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas","2020-04-20T00:00:00Z","1477",12,586,"profilaktika"
"Nacionalinis vėžio institutas","2020-04-20T00:00:00Z","1477",0,159,"profilaktika"
"UAB Diagnostikos laboratorija","2020-04-20T00:00:00Z","1477",0,184,"profilaktika"
"UAB Medicina practica laboratorija","2020-04-20T00:00:00Z","1477",0,307,"profilaktika"
"Viešoji įstaiga Klaipėdos universitetinė ligoninė","2020-04-20T00:00:00Z","1477",6,341,"profilaktika"
"Viešoji įstaiga Respublikinė Šiaulių ligoninė","2020-04-20T00:00:00Z","1477",2,320,"profilaktika"
"Viešoji įstaiga Vilniaus universiteto ligoninė Santaros klinikos","2020-04-20T00:00:00Z","1477",10,235,"profilaktika"
