"date","hospital_name","healthcare_region","hospital_beds_total_r7mean","hospital_beds_occupied_r7mean","oxygen_beds_total_r7mean","oxygen_beds_occupied_r7mean","mv_beds_total_r7mean","mv_beds_occupied_r7mean","icu_beds_total_r7mean","icu_beds_occupied_r7mean","icu_ecmo_systems_total_r7mean","icu_ecmo_systems_in_use_r7mean","cv19_hospital_beds_assigned_r7mean","cv19_hospital_beds_occupied_r7mean","cv19_oxygen_beds_assigned_r7mean","cv19_oxygen_beds_occupied_r7mean","cv19_mv_beds_assigned_r7mean","cv19_mv_beds_occupied_r7mean","cv19_icu_beds_assigned_r7mean","cv19_icu_beds_occupied_r7mean","cv19_icu_mv_beds_assigned_r7mean","cv19_icu_mv_beds_occupied_r7mean","cv19_icu_highflow_systems_total_r7mean","cv19_icu_highflow_systems_in_use_r7mean","cv19_icu_ecmo_assigned_r7mean","cv19_icu_ecmo_in_use_r7mean","cv19_admissions_r7mean","cv19_admissions_oxygen_r7mean","cv19_admissions_mv_r7mean","cv19_discharges_r7mean","remdesivir_vials_used_r7mean","remdesivir_patients_total_r7mean","remdesivir_patients_new_r7mean","geometry"
"2020-12-05","VšĮ Respublikinė Klaipėdos ligoninė","Klaipėdos regionas",834,318,67,56,12,4,17,9,0,0,85,83,85,83,0,0,8,6,8,4,1,1,0,0,0,50,3,0,1,1,0,NA
"2020-12-05","VšĮ Šilalės rajono ligoninė","Klaipėdos regionas",96,44,15,7,2,0,3,0,0,0,40,21,15,6,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,NA
"2020-12-05","VšĮ Šilutės ligoninė","Klaipėdos regionas",89,57,45,23,6,1,6,1,0,0,40,34,22,16,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,NA
"2020-12-05","VšĮ Tauragės ligoninė","Klaipėdos regionas",247,104,131,33,6,2,6,6,0,0,95,39,91,37,0,0,8,5,8,2,4,3,0,0,0,2,0,0,0,0,0,NA
"2020-12-05","VšĮ Anykščių rajono savivaldybės ligoninė","Panevėžio regionas",193,97,16,2,6,0,6,2,0,0,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"2020-12-05","VšĮ Biržų ligoninė","Panevėžio regionas",131,60,19,7,6,1,4,2,0,0,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Ignalinos rajono ligoninė","Panevėžio regionas",81,52,18,5,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Kupiškio ligoninė","Panevėžio regionas",100,43,10,3,4,0,3,1,0,0,8,4,4,2,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,NA
"2020-12-05","VšĮ Molėtų ligoninė","Panevėžio regionas",92,71,23,21,4,0,3,1,0,0,26,23,20,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA
"2020-12-05","VšĮ Pasvalio ligoninė","Panevėžio regionas",144,92,34,19,3,0,3,0,0,0,15,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Respublikinė Panevėžio ligoninė","Panevėžio regionas",712,420,366,204,38,22,49,22,0,0,196,107,142,95,0,0,14,10,14,10,2,2,0,0,0,2,0,0,2,2,0,NA
"2020-12-05","VšĮ Rokiškio psichiatrijos ligoninė","Panevėžio regionas",440,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Rokiškio rajono ligoninė","Panevėžio regionas",172,86,5,1,5,1,5,2,0,0,54,40,23,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Utenos ligoninė","Panevėžio regionas",285,84,6,0,6,0,6,2,0,0,25,18,25,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"2020-12-05","VšĮ Visagino ligoninė","Panevėžio regionas",188,93,0,12,5,1,5,2,0,0,20,10,10,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"2020-12-05","Zarasų rajono savivaldybės VšĮ Zarasų ligoninė","Panevėžio regionas",79,36,6,0,2,0,2,1,0,0,8,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Joniškio ligoninė","Šiaulių regionas",111,52,47,5,4,1,4,2,0,0,5,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Kelmės ligoninė","Šiaulių regionas",134,58,15,6,4,0,4,1,0,0,21,19,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Mažeikių ligoninė","Šiaulių regionas",198,129,45,47,6,4,6,6,0,0,105,88,53,45,0,0,3,2,3,1,0,0,0,0,0,2,0,0,0,0,0,NA
"2020-12-05","VšĮ N.Akmenės ligoninė","Šiaulių regionas",75,19,5,0,2,0,3,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Pakruojo ligoninė","Šiaulių regionas",79,66,0,0,0,0,1,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Plungės rajono savivaldybės ligoninė","Šiaulių regionas",181,87,23,17,3,1,3,1,0,0,25,15,11,11,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,NA
"2020-12-05","VšĮ Radviliškio ligoninė","Šiaulių regionas",128,76,38,11,4,1,3,1,0,0,25,21,9,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Regioninė Telšių ligoninė","Šiaulių regionas",181,110,84,25,6,1,6,4,NA,NA,36,29,25,23,NA,NA,1,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Respublikinė Šiaulių ligoninė","Šiaulių regionas",916,464,766,104,36,22,37,32,0,0,146,123,103,84,0,0,37,22,37,18,0,0,0,0,0,11,1,2,5,4,1,NA
"2020-12-05","Lietuvos Respublikos vidaus reikalų ministerijos Medicinos centras","Vilniaus regionas",27,14,4,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","Nacionalinis vėžio institutas","Vilniaus regionas",307,137,139,86,12,5,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","Švenčionių rajono ligoninė","Vilniaus regionas",117,60,4,0,4,1,4,1,0,0,25,18,25,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA
"2020-12-05","VšĮ Alytaus apskrities S.Kudirkos ligoninė","Vilniaus regionas",220,136,220,54,10,2,10,5,0,0,100,67,100,67,0,0,6,3,6,1,6,1,0,0,0,4,0,0,0,0,0,NA
"2020-12-05","VšĮ Druskininkų ligoninė","Vilniaus regionas",130,91,75,34,7,1,3,1,0,0,30,24,30,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA
"2020-12-05","VšĮ Elektrėnų ligoninė","Vilniaus regionas",88,37,1,0,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Lazdijų ligoninė","Vilniaus regionas",108,56,3,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Mykolo Marcinkevičiaus ligoninė","Vilniaus regionas",242,144,27,9,8,0,8,3,0,0,30,30,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,NA
"2020-12-05","VšĮ Respublikinė Vilniaus psichiatrinė ligoninė","Vilniaus regionas",420,204,6,1,4,0,6,3,0,0,14,3,4,1,0,0,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Respublikinė Vilniaus universitetinė ligoninė","Vilniaus regionas",694,366,323,153,37,11,37,20,0,0,38,29,24,21,0,0,4,1,4,1,1,0,0,0,0,4,0,0,0,0,0,NA
"2020-12-05","VšĮ Šalčininkų rajono savivaldybės ligoninė","Vilniaus regionas",118,47,3,0,2,0,3,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Trakų ligoninė","Vilniaus regionas",108,53,46,0,5,0,5,1,0,0,25,22,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Ukmergės ligoninė","Vilniaus regionas",181,113,59,35,3,1,7,4,0,0,58,58,50,50,0,0,7,3,6,1,0,0,0,0,0,3,0,0,0,0,0,NA
"2020-12-05","VšĮ Varėnos ligoninė","Vilniaus regionas",101,58,3,0,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"2020-12-05","VšĮ Vilniaus gimdymo namai","Vilniaus regionas",108,26,28,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Vilniaus miesto klinikinė ligoninė","Vilniaus regionas",592,293,12,48,12,4,12,8,0,0,207,170,207,170,0,0,6,6,3,3,4,3,0,0,0,21,0,0,1,2,1,NA
"2020-12-05","VšĮ Vilniaus miesto psichikos sveikatos centras","Vilniaus regionas",140,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-05","VšĮ Vilniaus universiteto ligoninės Santaros klinikos","Vilniaus regionas",923,780,710,399,100,71,100,71,0,0,136,132,136,132,0,0,50,33,50,14,28,12,2,2,0,7,1,20,26,21,4,NA
"2020-12-05","VšĮ Vilniaus universiteto ligoninės Žalgirio klinika","Vilniaus regionas",58,17,6,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","Kauno regionas",1683,965,1250,153,88,30,109,67,0,0,20,13,20,13,0,0,20,13,20,13,3,2,2,2,0,1,1,1,2,2,1,NA
"2020-12-06","Marijampolės ligoninė","Kauno regionas",292,123,145,45,11,5,9,10,0,0,51,46,51,46,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,1,NA
"2020-12-06","Šakių ligoninė","Kauno regionas",115,62,18,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Jonavos ligoninė","Kauno regionas",151,79,30,17,5,1,5,2,0,0,25,23,25,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,NA
"2020-12-06","VšĮ Jurbarko ligoninė","Kauno regionas",170,97,40,29,4,1,0,2,0,0,40,37,40,37,0,0,4,2,4,2,0,0,0,0,0,4,1,0,0,0,0,NA
"2020-12-06","VšĮ Kaišiadorių ligoninė","Kauno regionas",130,95,29,5,3,0,4,0,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA
"2020-12-06","VšĮ Kėdainių ligoninė","Kauno regionas",249,101,78,42,6,2,6,4,0,0,115,52,79,48,0,0,2,1,2,1,0,0,0,0,0,5,0,0,0,0,0,NA
"2020-12-06","VšĮ Lietuvos sveikatos mokslų universiteto Kauno ligoninė","Kauno regionas",1193,485,321,177,35,9,38,13,0,0,200,183,200,183,0,0,16,9,16,9,0,0,0,0,0,11,1,5,38,33,5,NA
"2020-12-06","VšĮ Prienų ligoninė","Kauno regionas",111,66,61,22,5,0,2,2,0,0,25,24,25,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA
"2020-12-06","VšĮ Raseinių ligoninė","Kauno regionas",143,54,3,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,NA
"2020-12-06","VšĮ Vilkaviškio ligoninė","Kauno regionas",181,94,34,9,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"2020-12-06","Klaipėdos rajono savivaldybės Gargždų ligoninė","Klaipėdos regionas",118,79,33,19,1,0,3,0,0,0,26,20,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","Kretingos rajono savivaldybės VšĮ Kretingos ligoninė","Klaipėdos regionas",95,36,39,14,4,2,6,2,0,0,35,26,29,20,0,0,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Klaipėdos Jūrininkų ligoninė","Klaipėdos regionas",364,284,219,205,19,6,19,13,0,0,30,20,30,20,0,0,8,4,8,4,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Klaipėdos universitetinė ligoninė","Klaipėdos regionas",865,400,404,69,33,17,33,32,0,0,120,90,120,90,0,0,15,15,15,15,0,0,0,0,0,4,2,0,3,2,1,NA
"2020-12-06","VšĮ Klaipėdos vaikų ligoninė","Klaipėdos regionas",186,60,58,3,6,0,6,1,0,0,40,2,40,2,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Respublikinė Klaipėdos ligoninė","Klaipėdos regionas",834,320,67,56,12,4,17,9,0,0,85,84,85,84,0,0,8,6,8,4,1,1,0,0,0,51,3,0,1,1,0,NA
"2020-12-06","VšĮ Šilalės rajono ligoninė","Klaipėdos regionas",96,44,15,7,2,0,3,0,0,0,40,20,15,6,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,NA
"2020-12-06","VšĮ Šilutės ligoninė","Klaipėdos regionas",89,57,45,23,6,1,6,1,0,0,40,32,22,14,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,NA
"2020-12-06","VšĮ Tauragės ligoninė","Klaipėdos regionas",247,104,131,33,6,2,6,6,0,0,97,41,92,39,0,0,8,5,8,2,4,3,0,0,0,2,0,0,0,0,0,NA
"2020-12-06","VšĮ Anykščių rajono savivaldybės ligoninė","Panevėžio regionas",193,98,16,1,6,0,6,2,0,0,9,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Biržų ligoninė","Panevėžio regionas",131,63,19,7,6,1,4,2,0,0,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Ignalinos rajono ligoninė","Panevėžio regionas",81,51,18,5,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Kupiškio ligoninė","Panevėžio regionas",100,37,10,2,4,0,3,1,0,0,8,3,4,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,NA
"2020-12-06","VšĮ Molėtų ligoninė","Panevėžio regionas",92,72,22,21,4,0,3,1,0,0,26,24,20,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA
"2020-12-06","VšĮ Pasvalio ligoninė","Panevėžio regionas",144,91,34,17,3,0,3,0,0,0,15,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Respublikinė Panevėžio ligoninė","Panevėžio regionas",712,422,366,207,38,24,49,24,0,0,197,111,143,97,0,0,14,10,14,10,2,2,0,0,0,3,0,0,1,1,0,NA
"2020-12-06","VšĮ Rokiškio psichiatrijos ligoninė","Panevėžio regionas",440,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Rokiškio rajono ligoninė","Panevėžio regionas",172,84,5,1,5,1,5,2,0,0,54,42,23,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Utenos ligoninė","Panevėžio regionas",285,83,6,0,6,0,6,2,0,0,25,19,25,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"2020-12-06","VšĮ Visagino ligoninė","Panevėžio regionas",188,95,0,13,5,1,5,2,0,0,20,11,10,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"2020-12-06","Zarasų rajono savivaldybės VšĮ Zarasų ligoninė","Panevėžio regionas",79,35,6,1,2,0,2,1,0,0,8,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Joniškio ligoninė","Šiaulių regionas",111,52,49,5,4,1,4,2,0,0,7,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Kelmės ligoninė","Šiaulių regionas",134,59,15,6,4,0,4,1,0,0,21,20,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Mažeikių ligoninė","Šiaulių regionas",198,126,45,48,6,4,6,6,0,0,105,86,53,45,0,0,3,2,3,1,0,0,0,0,0,2,0,0,0,0,0,NA
"2020-12-06","VšĮ N.Akmenės ligoninė","Šiaulių regionas",75,20,5,0,2,0,3,0,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Pakruojo ligoninė","Šiaulių regionas",79,65,0,0,0,0,1,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Plungės rajono savivaldybės ligoninė","Šiaulių regionas",181,87,23,17,3,1,3,1,0,0,25,16,11,11,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,NA
"2020-12-06","VšĮ Radviliškio ligoninė","Šiaulių regionas",128,77,38,11,4,1,3,1,0,0,25,21,9,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Regioninė Telšių ligoninė","Šiaulių regionas",181,111,84,25,6,1,6,4,NA,NA,32,28,25,24,NA,NA,1,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Respublikinė Šiaulių ligoninė","Šiaulių regionas",916,455,766,101,37,22,37,31,0,0,149,127,103,84,0,0,37,23,37,18,0,0,0,0,0,11,1,2,5,4,1,NA
"2020-12-06","Lietuvos Respublikos vidaus reikalų ministerijos Medicinos centras","Vilniaus regionas",27,14,4,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","Nacionalinis vėžio institutas","Vilniaus regionas",307,137,139,86,12,5,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","Švenčionių rajono ligoninė","Vilniaus regionas",117,61,4,0,4,1,4,1,0,0,25,20,25,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA
"2020-12-06","VšĮ Alytaus apskrities S.Kudirkos ligoninė","Vilniaus regionas",220,137,220,55,10,2,10,5,0,0,100,68,100,68,0,0,6,3,6,1,6,1,0,0,0,4,0,0,0,0,0,NA
"2020-12-06","VšĮ Druskininkų ligoninė","Vilniaus regionas",130,92,75,35,7,1,3,2,0,0,30,24,30,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA
"2020-12-06","VšĮ Elektrėnų ligoninė","Vilniaus regionas",88,37,1,0,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Lazdijų ligoninė","Vilniaus regionas",108,56,3,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Mykolo Marcinkevičiaus ligoninė","Vilniaus regionas",242,141,34,9,8,0,8,3,0,0,30,30,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,NA
"2020-12-06","VšĮ Respublikinė Vilniaus psichiatrinė ligoninė","Vilniaus regionas",420,204,6,1,4,0,6,3,0,0,14,3,4,1,0,0,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Respublikinė Vilniaus universitetinė ligoninė","Vilniaus regionas",694,371,318,150,36,11,36,19,0,0,42,31,26,22,0,0,4,1,4,1,1,0,0,0,0,4,0,0,0,0,0,NA
"2020-12-06","VšĮ Šalčininkų rajono savivaldybės ligoninė","Vilniaus regionas",118,46,3,0,2,0,3,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Trakų ligoninė","Vilniaus regionas",108,53,46,0,5,0,5,1,0,0,25,23,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Ukmergės ligoninė","Vilniaus regionas",181,110,59,33,3,0,7,4,0,0,58,57,50,50,0,0,7,3,6,1,0,0,0,0,0,4,0,0,0,0,0,NA
"2020-12-06","VšĮ Varėnos ligoninė","Vilniaus regionas",101,58,3,0,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"2020-12-06","VšĮ Vilniaus gimdymo namai","Vilniaus regionas",108,27,28,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Vilniaus miesto klinikinė ligoninė","Vilniaus regionas",592,283,12,73,12,3,12,8,0,0,210,177,210,177,0,0,6,6,3,3,4,3,0,0,0,22,0,0,1,3,1,NA
"2020-12-06","VšĮ Vilniaus miesto psichikos sveikatos centras","Vilniaus regionas",140,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-06","VšĮ Vilniaus universiteto ligoninės Santaros klinikos","Vilniaus regionas",932,787,710,399,100,72,100,72,0,0,138,134,138,134,0,0,50,34,50,15,28,13,2,2,0,8,1,20,27,22,4,NA
"2020-12-06","VšĮ Vilniaus universiteto ligoninės Žalgirio klinika","Vilniaus regionas",58,17,6,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-07","Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos","Kauno regionas",1683,974,1250,142,88,29,109,68,0,0,20,12,20,12,0,0,20,14,20,14,3,2,2,2,0,1,1,1,3,2,1,NA
"2020-12-07","Marijampolės ligoninė","Kauno regionas",292,124,145,48,11,5,9,10,0,0,52,49,52,49,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,3,1,NA
"2020-12-07","Šakių ligoninė","Kauno regionas",115,63,18,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2020-12-07","VšĮ Jonavos ligoninė","Kauno regionas",151,81,30,19,5,1,5,2,0,0,25,23,25,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,NA
